Date,TSLA,3557.TW,8046.TW,3443.TW
2017/11/6,60.556,14.236838,24.653719,255.654892
2017/11/7,61.209999,14.236838,24.510107,271.134918
2017/11/8,60.877998,13.98707,24.462233,260.345825
2017/11/9,60.598,14.111955,24.653719,263.629456
2017/11/10,60.598,14.111955,24.701591,265.505829
2017/11/13,63.080002,13.862185,24.605848,261.753113
2017/11/14,61.740002,13.799744,24.940947,265.036743
2017/11/15,62.259998,14.236838,25.08456,261.753113
2017/11/16,62.5,14.111955,24.605848,253.309448
2017/11/17,63.009998,13.98707,24.653719,258.938538
2017/11/20,61.748001,13.799744,24.270748,264.567627
2017/11/21,63.562,13.737301,24.510107,250.964005
2017/11/22,62.52,13.799744,24.988817,240.643967
2017/11/24,63.110001,13.237763,25.08456,242.051239
2017/11/27,63.362,13.237763,25.08456,229.854874
2017/11/28,63.509998,13.362647,25.08456,244.396713
2017/11/29,61.507999,13.300204,24.510107,252.371277
2017/11/30,61.77,13.300204,24.510107,277.233093
2017/12/1,61.306,13.237763,24.557976,269.258575
2017/12/4,61.040001,13.362647,24.893074,271.134918
2017/12/5,60.740002,13.362647,25.08456,266.444
2017/12/6,62.652,13.237763,25.276045,274.418579
2017/12/7,62.248001,13.300204,25.371788,263.629456
2017/12/8,63.026001,13.300204,25.276045,264.098572
2017/12/11,65.781998,13.300204,25.08456,259.407623
2017/12/12,68.206001,13.300204,25.180302,265.974915
2017/12/13,67.806,13.237763,24.893074,271.134918
2017/12/14,67.578003,13.237763,25.371788,262.691284
2017/12/15,68.690002,13.487532,24.940947,236.42215
2017/12/18,67.774002,13.487532,24.74946,245.80397
2017/12/19,66.220001,13.425089,25.03669,244.865799
2017/12/20,65.795998,13.425089,24.988817,239.236694
2017/12/21,66.332001,14.736378,26.089857,248.149429
2017/12/22,65.040001,16.17255,25.754759,254.24765
2017/12/26,63.458,17.733606,25.467531,260.814911
2017/12/27,62.327999,18.045818,25.563274,271.604004
2017/12/28,63.071999,16.984299,25.276045,263.629456
2017/12/29,62.27,15.985224,25.323919,263.629456
2018/1/2,64.106003,15.985224,25.180302,246.273071
2018/1/3,63.450001,16.359877,25.419657,244.396713
2018/1/4,62.924,15.92278,26.472828,246.273071
2018/1/5,63.316002,16.484762,26.5207,263.629456
2018/1/8,67.281998,16.734531,26.041986,274.887665
2018/1/9,66.737999,16.734531,25.898371,270.196716
2018/1/10,66.959999,16.484762,25.563274,278.640411
2018/1/11,67.589996,16.17255,25.276045,287.553131
2018/1/12,67.244003,16.047665,25.276045,316.167725
2018/1/16,68.012001,16.672089,24.988817,318.982269
2018/1/17,69.431999,16.484762,24.893074,336.807739
2018/1/18,68.914001,16.672089,24.797331,320.389557
2018/1/19,70.003998,18.295588,24.940947,337.745911
2018/1/22,70.311996,20.106413,25.276045,333.993225
2018/1/23,70.557999,21.605028,25.323919,326.956818
2018/1/24,69.178001,21.043049,25.08456,337.276825
2018/1/25,67.528,23.103642,25.659016,323.204071
2018/1/26,68.57,23.665623,25.659016,332.116852
2018/1/29,69.905998,24.41493,25.467531,319.920441
2018/1/30,69.164001,22.354334,24.318619,288.022247
2018/1/31,70.862,22.104567,24.462233,276.764038
2018/2/1,69.849998,20.605951,24.557976,258.469452
2018/2/2,68.75,19.169779,24.031393,264.567627
2018/2/5,66.625999,21.043049,24.270748,253.309448
2018/2/6,66.793999,23.103642,25.08456,278.640411
2018/2/7,69,22.978758,25.611143,298.342224
2018/2/8,63.046001,23.103642,26.137728,289.429535
2018/2/9,62.084,21.605028,26.616442,289.89856
2018/2/12,63.146,21.91724,26.5207,290.836761
2018/2/13,64.732002,21.480143,29.105749,290.836761
2018/2/14,64.461998,22.354334,28.627035,294.589508
2018/2/15,66.814003,22.354334,31.25996,303.971344
2018/2/16,67.098,22.042124,31.786545,306.785889
2018/2/20,66.954002,21.854797,30.541889,317.105896
2018/2/21,66.660004,21.542585,32.83971,314.760468
2018/2/22,69.234001,21.292818,32.935452,326.487732
2018/2/23,70.410004,21.292818,33.031197,300.687714
2018/2/26,71.484001,21.4177,32.456745,311.476807
2018/2/27,70.197998,21.292818,31.595058,303.971344
2018/2/28,68.612,21.230373,31.547184,304.44043
2018/3/1,66.185997,21.167933,30.158918,302.095001
2018/3/2,67.024002,21.792355,30.158918,308.193176
2018/3/5,66.669998,21.729912,30.350405,302.095001
2018/3/6,65.639999,21.167933,30.972729,318.513184
2018/3/7,66.459999,21.10549,30.637632,315.229553
2018/3/8,65.82,20.668394,29.345106,309.600464
2018/3/9,65.433998,20.730837,29.680204,303.502228
2018/3/12,69.101997,20.918163,31.307831,314.760468
2018/3/13,68.367996,21.4177,31.212084,305.378601
2018/3/14,65.325996,21.355261,34.180107,299.280396
2018/3/15,65.120003,21.230373,32.265255,297.404022
2018/3/16,64.269997,21.292818,31.403572,289.89856
2018/3/19,62.712002,21.043049,30.972729,293.182251
2018/3/20,62.110001,21.480143,29.82382,289.89856
2018/3/21,63.306,21.480143,30.158918,290.836761
2018/3/22,61.82,21.4177,29.392979,287.084045
2018/3/23,60.307999,20.980606,29.057877,280.98584
2018/3/26,60.835999,21.167933,29.297235,295.527679
