Date,ARKW,ARKG,ARKQ,ARKK,TSLA,3557.TW,8046.TW,3443.TW
2018/10/4,48.657204,29.044979,33.868755,42.592739,56.366001,21.167933,26.272623,197.609512
2018/10/5,47.88113,28.610624,33.078644,41.785156,52.389999,20.668394,25.3465,185.647675
2018/10/8,46.878334,28.081848,32.548691,41.006081,50.112,20.855721,25.054041,181.819885
2018/10/9,46.939381,28.270697,32.471611,41.196098,52.560001,20.605951,24.615353,179.427521
2018/10/10,44.367001,26.892099,31.045557,39.048885,51.375999,20.855721,23.786716,182.77684
2018/10/11,43.835083,26.835445,30.505966,38.66885,50.445999,20.918163,24.030432,200.958832
2018/10/12,45.404671,27.477531,31.411703,39.922974,51.756001,21.230373,24.566608,206.700516
2018/10/15,44.994835,27.175373,31.093731,39.561935,51.917999,21.167933,25.249014,211.96373
2018/10/16,46.974258,28.468988,32.172909,41.452625,55.318001,21.10549,27.344975,190.910889
2018/10/17,46.529541,28.459547,31.980198,41.205601,54.355999,20.543509,26.272623,179.905991
2018/10/18,45.291309,27.732477,31.141909,39.998981,52.782001,20.543509,28.856018,182.29837
2018/10/19,44.471638,27.043179,30.660135,39.257904,52,21.10549,28.953503,179.905991
2018/10/22,45.082035,26.703251,30.939564,39.371918,52.189999,21.230373,28.563557,179.905991
2018/10/23,45.352348,26.513458,31.093731,39.675949,58.827999,21.792355,28.807272,181.341415
2018/10/24,42.875889,24.786434,29.831482,37.424229,57.700001,21.792355,30.318316,178.470581
2018/10/25,45.020996,25.409634,30.756489,39.172398,62.972,21.854797,32.073071,174.164307
2018/10/26,43.896122,25.116917,30.448154,38.858868,66.18,21.854797,31.780611,172.728912
2018/10/29,43.433968,24.644796,30.072371,38.469334,66.970001,21.605028,31.195694,173.207382
2018/10/30,44.550117,25.381308,30.631229,39.447926,65.980003,21.605028,30.220829,178.949051
2018/10/31,46.58186,26.098932,31.267172,40.455029,67.463997,21.292818,29.392193,178.949051
2018/11/1,48.186325,27.080948,32.972652,42.488232,68.856003,21.480143,29.392193,182.77684
2018/11/2,48.107845,28.327353,33.001556,43.2103,69.281998,21.480143,29.050989,169.858063
2018/11/5,47.532333,28.299025,32.500515,42.583237,68.279999,21.480143,29.050989,157.41774
2018/11/6,47.523613,28.09129,32.712494,42.592739,68.211998,21.605028,29.245964,172.728912
2018/11/7,48.937111,29.026093,33.44479,43.666344,69.632004,21.605028,29.440935,173.207382
2018/11/8,47.837528,28.818361,33.45443,42.982277,70.279999,21.605028,30.367058,181.341415
2018/11/9,46.695217,28.204601,32.72213,42.161396,70.101997,21.480143,29.245964,188.040054
2018/11/12,44.872753,27.062063,31.56587,40.626041,66.255997,21.605028,29.684652,190.910889
2018/11/13,45.456989,27.24147,31.797125,40.958576,67.746002,21.480143,32.609249,206.700516
2018/11/14,45.334911,26.438862,31.893475,40.464527,68.800003,21.292818,33.291656,206.700516
2018/11/15,46.74754,27.364222,32.375252,41.652149,69.688004,21.167933,33.632858,190.432419
2018/11/16,46.023785,27.515301,32.163273,41.490627,70.862,21.230373,31.683128,187.561569
2018/11/19,43.381645,26.382208,30.958836,39.504932,70.694,21.542585,34.851437,184.212265
2018/11/20,42.762531,25.85343,30.409613,38.782856,69.498001,21.10549,35.4851,177.992096
2018/11/21,43.277008,26.580498,30.86248,39.656952,67.638,21.292818,38.994617,182.29837
2018/11/23,43.093887,26.74102,30.785397,39.628445,65.166,21.480143,38.653416,192.824783
2018/11/26,44.768116,27.345335,31.623684,40.806564,69.199997,21.480143,36.801167,194.260193
2018/11/27,44.811714,26.873215,31.209358,40.407524,68.783997,21.10549,36.264996,195.217148
2018/11/28,46.751904,27.929825,32.095825,41.975178,69.573997,21.167933,36.411224,195.217148
2018/11/29,46.603661,28.044079,31.748945,41.851665,68.234001,21.355261,35.387615,186.60463
2018/11/30,47.070175,28.129063,32.066917,42.231705,70.096001,21.230373,34.217773,196.174088
2018/12/3,48.282246,28.950554,32.693222,43.257805,71.697998,20.980606,33.925316,187.561569
2018/12/4,45.971466,27.411434,31.459883,41.110592,71.940002,21.230373,35.387615,197.131042
2018/12/6,46.485943,27.364222,31.517693,41.367119,72.612,21.605028,36.508709,203.351196
2018/12/7,44.864037,26.344437,30.698677,39.998981,71.594002,21.605028,34.266521,195.695618
2018/12/10,45.343632,26.484186,30.775761,40.417023,73.029999,21.292818,31.975586,193.303268
2018/12/11,45.38723,26.62771,30.89139,40.341011,73.351997,21.542585,32.804222,198.087982
2018/12/12,46.1633,26.995968,31.33462,41.148598,73.32,21.542585,32.950451,197.131042
2018/12/13,45.823227,26.372765,31.073498,40.512032,75.358002,21.4177,33.242908,194.738663
2018/12/14,44.759399,25.730677,30.621593,39.685452,73.141998,21.4177,33.827831,175.599731
2018/12/17,42.875889,24.758104,29.609865,37.927773,69.683998,21.10549,32.657993,175.121262
2018/12/18,43.285728,24.404013,29.870026,37.899273,67.405998,21.4177,33.827831,175.121262
